aaa,9855927,9156,359,610
aab,9588558,9386,57,114
aac,9967618,8988,32,99
aad,9916702,10803,123,238
aae,9954807,9876,198,345
aaf,9900051,8775,21,45
aag,9940021,8142,35,81
aba,9853994,10924,185,405
abb,9769442,9302,218,316
abc,9984055,8960,300,529
abd,9365494,8665,126,220
abe,9993977,8342,48,127
abf,9839557,8462,162,247
abg,9812023,9464,11,25
aca,9990829,8175,185,316
acb,9962787,10898,75,127
acc,9972990,10746,167,353
acd,9879483,8092,111,224
ace,9976378,8893,76,179
acf,9875954,8815,19,33
acg,9512869,8223,25,36
ada,9947440,7332,38,139
adb,9760260,8589,134,266
adc,9737436,9391,70,220
add,9430809,9083,136,223
ade,9259101,8294,182,258
adf,9763605,9293,31,119
adg,9800826,9772,56,170
aea,9704118,7857,22,84
aeb,9986713,8948,704,1575
aec,9812970,8311,104,250
aed,9994576,8848,84,164
aee,9918296,8892,76,275
aef,9874583,9304,5,5
aeg,9962373,8934,158,248
afa,9868740,9718,118,247
afb,9738150,9088,22,50
afc,9808541,9175,192,295
afd,9441496,9883,66,234
afe,9807685,9186,92,181
aff,9826401,8015,149,235
afg,9940743,10508,107,198
aga,9634208,9311,16,46
agb,9928032,8602,438,793
agc,9570473,9681,114,199
agd,9942119,9150,5,5
age,9803404,8974,68,148
agf,9773043,9109,174,290
agg,9843965,6738,65,152
baa,9984918,8851,58,113
bab,9930069,9156,8,20
bac,9585065,7311,10,39
bad,9772061,7952,321,646
bae,9977522,7739,97,210
baf,9785602,8646,116,249
bag,9949026,9518,266,522
bba,9664461,11164,118,289
bbb,9972777,9418,119,290
bbc,9583168,9941,103,177
bbd,9866369,10583,118,204
bbe,9556134,8572,89,229
bbf,9877362,9535,84,209
bbg,9985746,8867,107,169
bca,9959501,9557,37,70
bcb,9973135,8879,229,407
bcc,9794222,7812,81,136
bcd,9893158,8406,127,209
bce,9739050,9858,535,902
bcf,9986872,10196,80,237
bcg,9932369,8345,8,34
bda,9998187,10076,313,487
bdb,9994431,9217,158,299
bdc,9956370,9931,147,257
bdd,9704567,7362,61,129
bde,9531491,10550,69,138
bdf,9587851,10141,271,445
bdg,9788098,8779,194,340
bea,9879654,8744,92,246
beb,9921026,11226,168,345
bec,9985904,10385,5,11
bed,9356733,8426,184,255
bee,9895665,7810,116,197
bef,9996473,10799,373,565
beg,9688761,9402,216,357
bfa,9918059,8889,5,10
bfb,9889853,10057,332,504
bfc,9940339,7313,267,441
bfd,9758632,9659,8,23
bfe,9854063,10392,42,198
bff,9905748,8327,355,589
bfg,9736623,8460,78,175
bga,9970905,9174,301,497
bgb,9929797,8180,45,157
bgc,9765717,9376,164,321
bgd,9297413,8053,44,152
bge,9319833,11476,96,129
bgf,9937978,8159,1222,1909
bgg,9617710,7745,177,270
caa,9889839,10280,77,158
cab,9845735,9517,92,180
cac,9626539,8577,81,135
cad,9977176,9041,179,281
cae,9510335,8373,10,42
caf,9936072,8023,212,436
cag,9969969,8278,99,153
cba,9902814,9539,131,331
cbb,9620448,7797,74,198
cbc,9990814,9520,5,11
cbd,9766332,9944,108,166
cbe,9887630,8350,61,90
cbf,9622271,9509,5,7
cbg,9472686,8567,87,158
cca,9873806,8811,177,329
ccb,9608221,9263,10,35
ccc,9678442,8461,212,338
ccd,9760769,8433,49,121
cce,9836562,8610,102,175
ccf,9963269,9560,80,145
ccg,9809242,9128,96,235
cda,9874539,8818,116,234
cdb,9979594,10306,5,15
cdc,9919471,9187,137,288
cdd,9937912,8592,45,121
cde,9451388,7945,245,492
cdf,9944855,7919,7,19
cdg,9992764,8575,126,189
cea,9813422,9545,5,9
ceb,9718626,9691,111,209
cec,9647433,7991,128,214
ced,9915143,8382,49,130
cee,9589985,9221,162,281
cef,9924542,8852,83,159
ceg,9757802,8956,119,196
cfa,9776535,9151,5,6
cfb,9957537,8005,103,248
cfc,9967814,8153,177,278
cfd,9798568,10175,61,129
cfe,9973091,8542,113,223
cff,9982466,7212,206,404
cfg,9959177,9520,35,85
cga,9909195,8081,91,203
cgb,9971146,8640,108,216
cgc,9980745,9512,137,216
cgd,9901352,7352,221,407
cge,9919026,7233,42,118
cgf,9810101,11267,57,151
cgg,9467835,8783,119,227
daa,9832767,7100,75,289
dab,9982242,7528,379,659
dac,9679763,7934,165,244
dad,9870099,9395,19,72
dae,9854407,9489,5,16
daf,9937239,8270,97,219
dag,9895458,9031,5,7
dba,9441559,7626,178,331
dbb,9915398,8648,60,144
